Unique ID,Sub Variety,ITEM NAME
Bp150,Super Chanab Sela,PADDY
Bp151,Super Chanab Sela,CHOBA
Bp152,Super Chanab Sela,RICE POLISH
Bp153,Super Chanab Sela,DUST
Bp154,Super Chanab Sela,EMPTY BAGS WEIGHT
Bp155,Super Chanab Sela,EXCESS EXPORT
Bp156,Super Chanab Sela,WEIGHT LOSS
Bp157,Super Chanab Steam,FINISHED GOODS
Bp158,Super Chanab Steam,B-Q
Bp159,Super Chanab Steam,B-1
Bp160,Super Chanab Steam,B-2
Bp161,Super Chanab Steam,B-2 CSR
Bp162,Super Chanab Steam,B-3
Bp163,Super Chanab Steam,CSR
Bp164,Super Chanab Steam,PADDY
Bp165,Super Chanab Steam,CHOBA
Bp166,Super Chanab Steam,RICE POLISH
Bp167,Super Chanab Steam,DUST
Bp168,Super Chanab Steam,EMPTY BAGS WEIGHT
Bp169,Super Chanab Steam,EXCESS EXPORT
Bp170,Super Chanab Steam,WEIGHT LOSS
Bp171,D-98 White,FINISHED GOODS
Bp172,D-98 White,B-Q
Bp173,D-98 White,B-1
Bp174,D-98 White,B-2
Bp175,D-98 White,B-2 CSR
Bp176,D-98 White,B-3
Bp177,D-98 White,CSR
Bp178,D-98 White,PADDY
Bp179,D-98 White,CHOBA
Bp180,D-98 White,RICE POLISH
Bp181,D-98 White,DUST
Bp182,D-98 White,EMPTY BAGS WEIGHT
Bp183,D-98 White,EXCESS EXPORT
Bp184,D-98 White,WEIGHT LOSS
Bp185,D-98 Sela,FINISHED GOODS
Bp186,D-98 Sela,B-Q
Bp187,D-98 Sela,B-1
Bp188,D-98 Sela,B-2
Bp189,D-98 Sela,B-2 CSR
Bp190,D-98 Sela,B-3
Bp191,D-98 Sela,CSR
Bp192,D-98 Sela,PADDY
Bp193,D-98 Sela,CHOBA
Bp194,D-98 Sela,RICE POLISH
Bp195,D-98 Sela,DUST
Bp196,D-98 Sela,EMPTY BAGS WEIGHT
Bp197,D-98 Sela,EXCESS EXPORT
Bp198,D-98 Sela,WEIGHT LOSS
Bp199,D-98 Steam,FINISHED GOODS
Bp200,D-98 Steam,B-Q
Bp201,D-98 Steam,B-1
Bp202,D-98 Steam,B-2
Bp203,D-98 Steam,B-2 CSR
Bp204,D-98 Steam,B-3
Bp205,D-98 Steam,CSR
Bp206,D-98 Steam,PADDY
Bp207,D-98 Steam,CHOBA
Bp208,D-98 Steam,RICE POLISH
Bp209,D-98 Steam,DUST
Bp210,D-98 Steam,EMPTY BAGS WEIGHT
Bp211,D-98 Steam,EXCESS EXPORT
Bp212,D-98 Steam,WEIGHT LOSS
Bp213,Irri-6 White,FINISHED GOODS
Bp214,Irri-6 White,FINISHED GOODS 100% BROKEN
Bp215,Irri-6 White,B-Q
Bp216,Irri-6 White,B-1
Bp217,Irri-6 White,B-2
Bp218,Irri-6 White,B-2 CSR
Bp219,Irri-6 White,B-3
Bp220,Irri-6 White,CSR
Bp221,Irri-6 White,CSR H/R
Bp222,Irri-6 White,CSR FINAL H/R
Bp223,Irri-6 White,KACHAR
Bp224,Irri-6 White,STONES
Bp225,Irri-6 White,B-2 CSR (S)
Bp226,Irri-6 White,B-2 CSR (US)
Bp227,Irri-6 White,PADDY
Bp228,Irri-6 White,PADDY H/R
Bp229,Irri-6 White,CHOBA
Bp230,Irri-6 White,RICE POLISH
Bp231,Irri-6 White,DUST
Bp232,Irri-6 White,EMPTY BAGS WEIGHT
Bp233,Irri-6 White,EXCESS EXPORT
Bp234,Irri-6 White,WEIGHT LOSS
Bp235,Irri-6 Sela,FINISHED GOODS
Bp236,Irri-6 Sela,B-Q
Bp237,Irri-6 Sela,B-1
Bp238,Irri-6 Sela,B-2
Bp239,Irri-6 Sela,B-2 CSR
Bp240,Irri-6 Sela,B-3
Bp241,Irri-6 Sela,CSR
Bp242,Irri-6 Sela,PADDY
Bp243,Irri-6 Sela,CHOBA
Bp244,Irri-6 Sela,RICE POLISH
Bp245,Irri-6 Sela,DUST
Bp246,Irri-6 Sela,EMPTY BAGS WEIGHT
Bp247,Irri-6 Sela,EXCESS EXPORT
Bp248,Irri-6 Sela,WEIGHT LOSS
Bp249,Irri-6 Steam,FINISHED GOODS
Bp250,Irri-6 Steam,B-Q
Bp251,Irri-6 Steam,B-1
Bp252,Irri-6 Steam,B-2
Bp253,Irri-6 Steam,B-2 CSR
Bp254,Irri-6 Steam,B-3
Bp255,Irri-6 Steam,CSR
Bp256,Irri-6 Steam,PADDY
Bp257,Irri-6 Steam,CHOBA
Bp258,Irri-6 Steam,RICE POLISH
Bp259,Irri-6 Steam,DUST
Bp260,Irri-6 Steam,EMPTY BAGS WEIGHT
Bp261,Irri-6 Steam,EXCESS EXPORT
