Material ID,Category,Sub Category,Variety,White/Brown,Sub Variety,Item Year
Rm071,Rice,Non-Basmati,Irri-6,Brown,Irri-6 Brown Sela,Raw (23-24)
Rm072,Rice,Non-Basmati,Irri-6,Brown,Irri-6 Brown Sela,Raw (24-25)
Rm073,Rice,Non-Basmati,Irri-6,Brown,Irri-6 Brown Steam,Raw (23-24)
Rm074,Rice,Non-Basmati,Irri-6,Brown,Irri-6 Brown Steam,Raw (24-25)
Rm075,Rice,Non-Basmati,C-9,White,C-9 White,Raw (23-24)
Rm076,Rice,Non-Basmati,C-9,White,C-9 White,Raw (24-25)
Rm077,Rice,Non-Basmati,C-9,White,C-9 Sela,Raw (23-24)
Rm078,Rice,Non-Basmati,C-9,White,C-9 Sela,Raw (24-25)
Rm079,Rice,Non-Basmati,C-9,White,C-9 Steam,Raw (23-24)
Rm080,Rice,Non-Basmati,C-9,White,C-9 Steam,Raw (24-25)
Rm081,Rice,Non-Basmati,C-9,Brown,C-9 Brown,Raw (23-24)
Rm082,Rice,Non-Basmati,C-9,Brown,C-9 Brown,Raw (24-25)
Rm083,Rice,Non-Basmati,C-9,Brown,C-9 Brown Sela,Raw (23-24)
Rm084,Rice,Non-Basmati,C-9,Brown,C-9 Brown Sela,Raw (24-25)
Rm085,Rice,Non-Basmati,C-9,Brown,C-9 Brown Steam,Raw (23-24)
Rm086,Rice,Non-Basmati,C-9,Brown,C-9 Brown Steam,Raw (24-25)
Rm087,Rice,Non-Basmati,Super Fine,White,Super Fine White,Raw (23-24)
Rm088,Rice,Non-Basmati,Super Fine,White,Super Fine White,Raw (24-25)
Rm089,Rice,Non-Basmati,Super Fine,White,Super Fine Sela,Raw (23-24)
Rm090,Rice,Non-Basmati,Super Fine,White,Super Fine Sela,Raw (24-25)
Rm091,Rice,Non-Basmati,Super Fine,White,Super Fine Steam,Raw (23-24)
Rm092,Rice,Non-Basmati,Super Fine,White,Super Fine Steam,Raw (24-25)
Rm093,Rice,Non-Basmati,Super Fine,Brown,Super Fine Brown,Raw (23-24)
Rm094,Rice,Non-Basmati,Super Fine,Brown,Super Fine Brown,Raw (24-25)
Rm095,Rice,Non-Basmati,Super Fine,Brown,Super Fine Brown Sela,Raw (23-24)
Rm096,Rice,Non-Basmati,Super Fine,Brown,Super Fine Brown Sela,Raw (24-25)
Rm097,Rice,Non-Basmati,Super Fine,Brown,Super Fine Brown Steam,Raw (23-24)
Rm098,Rice,Non-Basmati,Super Fine,Brown,Super Fine Brown Steam,Raw (24-25)
Rm099,Rice,Non-Basmati,386,White,386 White,Raw (23-24)
Rm100,Rice,Non-Basmati,386,White,386 White,Raw (24-25)
Rm101,Rice,Non-Basmati,386,White,386 Sela,Raw (23-24)
Rm102,Rice,Non-Basmati,386,White,386 Sela,Raw (24-25)
Rm103,Rice,Non-Basmati,386,White,386 Steam,Raw (23-24)
Rm104,Rice,Non-Basmati,386,White,386 Steam,Raw (24-25)
Rm105,Rice,Non-Basmati,386,Brown,386 Brown,Raw (23-24)
Rm106,Rice,Non-Basmati,386,Brown,386 Brown,Raw (24-25)
Rm107,Rice,Non-Basmati,386,Brown,386 Brown Sela,Raw (23-24)
Rm108,Rice,Non-Basmati,386,Brown,386 Brown Sela,Raw (24-25)
Rm109,Rice,Non-Basmati,386,Brown,386 Brown Steam,Raw (23-24)
Rm110,Rice,Non-Basmati,386,Brown,386 Brown Steam,Raw (24-25)
Rm111,Rice,Non-Basmati,Lal 386,White,Lal 386 White,Raw (23-24)
Rm112,Rice,Non-Basmati,Lal 386,White,Lal 386 White,Raw (24-25)
Rm113,Rice,Non-Basmati,Lal 386,White,Lal 386 Sela,Raw (23-24)
Rm114,Rice,Non-Basmati,Lal 386,White,Lal 386 Sela,Raw (24-25)
Rm115,Rice,Non-Basmati,Lal 386,White,Lal 386 Steam,Raw (23-24)
Rm116,Rice,Non-Basmati,Lal 386,White,Lal 386 Steam,Raw (24-25)
Rm117,Rice,Non-Basmati,Lal 386,Brown,Lal 386 Brown,Raw (23-24)
Rm118,Rice,Non-Basmati,Lal 386,Brown,Lal 386 Brown,Raw (24-25)
Rm119,Rice,Non-Basmati,Lal 386,Brown,Lal 386 Brown Sela,Raw (23-24)
Rm120,Rice,Non-Basmati,Lal 386,Brown,Lal 386 Brown Sela,Raw (24-25)
Rm121,Rice,Non-Basmati,Lal 386,Brown,Lal 386 Brown Steam,Raw (23-24)
Rm122,Rice,Non-Basmati,Lal 386,Brown,Lal 386 Brown Steam,Raw (24-25)
Rm123,Rice,Non-Basmati,Supri,White,Supri White,Raw (23-24)
Rm124,Rice,Non-Basmati,Supri,White,Supri White,Raw (24-25)
Rm125,Rice,Non-Basmati,Supri,White,Supri Sela,Raw (23-24)
Rm126,Rice,Non-Basmati,Supri,White,Supri Sela,Raw (24-25)
Rm127,Rice,Non-Basmati,Supri,White,Supri Steam,Raw (23-24)
Rm128,Rice,Non-Basmati,Supri,White,Supri Steam,Raw (24-25)
Rm129,Rice,Non-Basmati,Supri,Brown,Supri White,Raw (23-24)
Rm130,Rice,Non-Basmati,Supri,Brown,Supri White,Raw (24-25)
Rm131,Rice,Non-Basmati,Supri,Brown,Supri Sela,Raw (23-24)
Rm132,Rice,Non-Basmati,Supri,Brown,Supri Sela,Raw (24-25)
Rm133,Rice,Non-Basmati,Supri,Brown,Supri Steam,Raw (23-24)
Rm134,Rice,Non-Basmati,Supri,Brown,Supri Steam,Raw (24-25)
