CODE,DESCRIPTION
5375,LC 24INSU0115-00226 MBL LONGI SOLAR 3600 PCS 580W $267K
5376,LC/01/030/1452 HMB LONGI SOLAR 3600 PCS 580W $267K
5377,LC/01/030/1453 HMB LONGI SOLAR 3600 PCS 580W $267K
5378,LC 0054LCS240158 HMB LONGI SOLAR 3600 PCS 585W $269K
5379,LC 0054LCS240157 MCB LONGI SOLAR 3600 PCS 585W $269K
5380,LC 415010745641-L SCB LONGI SOLAR 590W 3600 PCS $272K
5381,RETAINTION AC $ - HMBL
5382,RETAINTION AC $- FBL
5383,MAZ LOGISTICS - SHIPPING
5384,MAQBOOL JOKHIO 183 ACRES LAND IN GHULAMULLAH-FARM 2024
5385,TURTLE BEACH HUT - MAINTENANCE
5386,LC/01/030/1461 HMBL WHEAT 5500 MT $1.64M 12TH VESSEL MV CYCAS
5387,ALPINE INTERNATIONAL - EQUIPMENTS
5388,SALEEM (MUGHAL ATTA CUSTOMER) - KARACHI
5389,MAKATA LAND 41 ACRE ASHRAF BABRO - BABRA SAKRO
5390,MAKATA LAD 154 ACRE IQBAL - GULAMULLAH THATTA
5391,HUM NETWORK LTD (TV ADVESTISING)
5392,"COGEMO S.A.S, REUNION"
5393,"ASCEND COMMODITIES S.A, CAMEROON"
5394,LC/01/030/1459 HMB JIANGSU SOLAR 8370 PCS 180W $188K
5395,LC-3001LSI335224 FBL LONGI SOLAR 3600 PCS 585W $270K
5396,LC-3001LSI335324 FBL LONGI SOLAR 3600 PCS 590W $272K
5397,LC-0054LCS240216 MCB LONGI SOLAR 3600 PCS 580W $267K
5398,AMWAR TRADING COMPANY - HARDWARE
5399,GREEN STORE - KARACHI
5400,LC-3001LSI338124 FBL LONGI SOLAR 3600 PCS 580W $267K
5401,LC-3001LSI338224 FBL LONGI SOLAR 3600 PCS 580W $267K
5402,LC-0054LCS240239 MCB LONGI SOLAR 3600 PCS 580W $267K
5141,SHAFIQ CATERING - KARACHI
5142,"GESA? GENEL GIDA SAN VE TIC A?, TURKEY"
5143,SUMAIR BILAL BROKER
5144,JAHANIA IMPEX HYDERABAD (AMAR LAL)
5145,NLC - NATIONAL LOGISTIC CELL (TRANSPORTATION)
5146,"SUN-ACE TRADE AND COMMODITIES INC, PHILIPPINES"
5147,"GUANGZHOU SHUNHECHENG TRADING CO LTD, CHINA"
5148,"D WESSCON EXIM INC, PHILIPPINES"
5149,SAM LOGISTICS (PVT.) LIMITED
5150,LC 23INSC0115-01911 MBL WHEAT 6050 MT $1706K MERA ENTP - MV B.HALIL
5151,DANIYAL TRADERS - KARACHI
5152,A-Z TURBAT - BALOCHISTAN
5153,"SATRAH GENERAL TRADING LLC, DJIBOUTI"
5154,LC/01/030/1323 PMC H101T99MT PETROGF $96K HMB
5155,LC/01/030/1300 PMC FS153 99MT PETROGF $98K HMB
5156,LC/01/030/1301 PMC FS153 99MT PETROGF $98K HMB
5157,LC/01/030/1303 PMC FS153 99MT PETROGF $98K HMB
5158,LC/01/030/1302 PMC FS153 99MT PETROGF $98K HMB
5159,LC/01/030/1304 PMC AW564 99MT PETROGF $97K HMB
5160,LC/01/030/1327 UV VARNISH 8.5MT GUNGZO $25.5K HMB
5161,0054LCS231017 MCB  JA SOLAR 3100 PCS  $278K MCB
5162,0054LCS231018 MCB  JA SOLAR 3100 PCS  $278K MCB
5163,0054LCS231062 MCB  JA SOLAR 550 PCS  $167K
5164,0054LCS231063 MCB  JA SOLAR 1185 PCS  $125K
5165,0054LCS231068 MCB  LONGI SOLAR 2880 PCS  $299.7K
5166,0054LCS231111 MCB  LONGI SOLAR 3100 PCS  $292.5K
5167,0054LCS231112 MCB  LONGI SOLAR 3600 PCS  $375.8K
5168,1090/SLC/2134/23 BIP LONGI SOLAR 3100 PCS  $292.5K
5169,1090/SLC/2135/23 BIP LONGI SOLAR 2160 PCS  $225.5K
5170,"ANHUI DAOYUAN FOOD CO LTD, CHINA"
5171,SADAF FURQAN - KARACHI
5172,"FORTUNE AGRO INDUSTRIES (PVT) LTD, SRI LANKA"
5173,"LULU MUSCAT HYPER MARKET LLC, OMAN"
5174,AMMAR RICE TRADERS - KARACHI
5175,23INSU0115-01988 LC MBL LONGI SOLAR 3100 PCS $284K
5176,23INSU0115-01987 LC MBL LONGI SOLAR 3600 PCS $360K
5177,LC 23INSU0115-01969 MBL WHEAT MERA 6050MT $1691K - MV BERDEN
5178,LC/01/030/1333 HMBL WHEAT MERA 5475MT $1692K RUSSIA- MV INCE KARADENIZ
5179,HAMSONS INDUSTRIES
,AMIR AMIN KOTHAWALA - KARACHI
5180,FE25/EFS/MM/RF BANK ISLAMI
5181,FE25/EFS/MM/RF ABL
5182,"AG GLOBAL FOREIGN TRADE INC, TURKMENISTAN"
5183,"GABOD LOGISTICS FZCO, DJIBOUTI"
5184,AHMED RICE C/O ARIF ZAKARIA
5185,ASLAM BROKER
5189,LC/01/030/1334 HMBL LONGI SOLAR 3100 PCS $284K
5186,MEHBOOB STEEL PIPE INDUSTRY - ROLLED PIPES
5187,LC 23INSU0115-02213 MBL WHEAT 5500MT $1.56M MERA ENP MV AL DANHA 4TH
5188,BISMILLAH ENTERPRISES - KARACHI
5190,LC/01/030/1339 HMBL LONGI SOLAR 3600 PCS $330K
5191,LC/01/030/1336 HMBL JINKO SOLAR 1860 PCS $167K
5192,LC/01/030/1335 HMBL JINKO SOLAR 1240 PCS $127K
5193,KOSMO FEED MILLS (PVT) LTD
5194,GETZ PHARMA (PVT) LTD - KARACHI
5195,HMBL ISLAMIC - AC# 6-99-64-29301-714-439058
5196,SHAN BROKER
5197,ILC-07861261123PKISS001 HBL $370K RED LENTILS
5198,BAD DEBTS EXPENSES
5199,ALLOWANCE FOR BAD DEBTS
5200,KHURRAM TRADER - KARACHI
5201,SCOPIQ LOGISTICS - SHIPPING FREIGHT
5202,TRANSPORT PROVISION - EXPORT CONTAINERS
5203,"CAGAYAN CORN PRODUCTS CORP, PHILIPPINES"
5204,"GAUTAM GENERAL TRADING LLC, DJIBOUTI"
5205,MUGHAL ATTA CUSTOMERS
5206,M.S.NASEER PAKWAN CENTER - KARACHI
5207,RAMESH AWAMI TRADERS
5208,"MODERN MILLS, SAUDI ARABIA"
5209,LC ILC07861394723PK - HBL WHEAT MV-BEKS NAZIK 5500MT 5TH $1522K
5210,"LULU CENTER INTERNATIONAL GEN TRAD & CONT, KUWAIT"
5211,CASH PQ RICE (UPTO 04-11-2024)
5212,LC-0054LCS231356 MCB SOLAR 3100 PCS JA550W $264K
5213,LC/01/030/1362 HMB LAUFFER VISION SORTEX (BILAL) 15 SETS $142.5K
5214,MUGHAL ONLINE ORDERS
5215,"ANANTA COMMODITIES PTE LTD, CROATIA"
5216,"ORISON FREE ENTERPRISE INC, PHILIPPINES"
5217,AHSAN CORPORATION - PIPES
5218,"ORYZA AGRI TRADING LIMITED, MOZAMBIQUE"
5219,IBRAHIM 96 ACRE FARM - 2023
5220,KRUST - KARACHI
5221,PURE GROUP - KARACHI
5222,SNIA ENTERPRISES - SOLAR CLEARING AGENT
5223,CLOSE AYAN FOODER
5224,"CVTRADING SA, CHILE"
5225,IQBAL RAZZAK
5226,DEWMAK ENERGY PVT LTD - UPS
5227,ABDUL QADIR (HYDERABAD) (OTHERS)
5228,LC-23INSU0115-02381 MBL SOLAR 3600 PCS LONGI 575/580W $330K
5229,LC-23INSU0115-02380 MBL SOLAR 3600 PCS LONGI 575W $329K
5230,LC-1090/SLC/2822/23 BIP SOLAR 3600 PCS LONGI 575/580W $330K
5231,LC-1090/SLC/2823/23 BIP 3600 PCS LONGI 580/585W $333K
5232,"FALCONBRIDGE RESOURCES FZ LLC, HAITI"
5233,1509 WHITE
5234,AUS FOODS (CHOP CHOP) - KARACHI
5235,"MINDANAO AGRIPLUS CORP, PHILIPPINES"
5236,DUBAI PROPERTY 6- GREENSIDE RESIDENCE
5237,ZUBAIR MADNI
5238,MAKLI PROJECT 140 ACRE NOV-2023
5239,LD BROKER
5240,LC/01/030/1399 HMBL WHEAT 7TH VESSEL  MV SEA POWER 6400MT $1.779M
5241,"VA INTERTRADING AKTIENGESELLSCHAFT, SENEGAL"
5242,BILAL GIGA
5243,LC-1090/SLC/2976/23 WHEAT BIP 6TH VESSELE MV INCE MARMARA 6000MT $1.582
5244,LC-23INSU0115-02519 MBL SOLAR 3600 PCS LONGI 575/590W $313K
5245,LC-23INSU0115-02520 MBL SOLAR 3600 PCS LONGI 585/580W $312K
5246,LC/01/030/1392 HMBL SOLAR 3100 PCS JINKO 580W $266K
5247,LC-0054LCS231462 MCB LONGI 580W 3600 PCS $311K
5248,LC-0054LCS231463 MCB LONGI 580W 3600 PCS $311K
5249,LC/01/030/1398 HMBL LONGI SOLAR 3600 PCS 580W $309K
5250,LC/01/030/1393 HMBL LONGI SOLAR 3600 PCS 580W $309K
5252,RIZWAN BROKER
5253,"FAMOUS FOOD PRODUCTS, USA"
5254,BAZAAR (00H)
5255,"RUBY & SPINEL LIMITED, KENYA"
5256,"PARTIDO RICE MILL CORP, PHILIPPINES"
5257,DQS PAKISTAN - BRC AUDIT
5258,BURRAQ OIL & LUBRICANT SERVICES - HSD
5259,"TRIPLE RP AGRI TRADING, PHILIPPINES"
5260,"RAMS AGRI TRADING, PHILIPPINES"
5261,REPSOL ENTERPRISE - HSD
